County Code,State Abbreviation,County Name,Total Number of Tax Returns,Total Number of Exemptions,Adjusted Gross Income (In Thousands),Wages and Salaries Incomes (In Thousands),Dividend Incomes (In Thousands),Interest Income (In Thousands)
7,MT,Broadwater County,2218,4409,$91250,$57284,$1615,$4597
9,MT,Carbon County,4391,8637,$212273,$125063,$6588,$10545
11,MT,Carter County,522,1083,$18180,$8166,$1285,$1857
13,MT,Cascade County,38093,74468,$1624186,$1086966,$41614,$61238
15,MT,Chouteau County,2110,4254,$85911,$43609,$3562,$6085
17,MT,Custer County,5333,10391,$242210,$145304,$5092,$8621
19,MT,Daniels County,859,1708,$29504,$17973,$722,$2509
21,MT,Dawson County,3880,7994,$169005,$125175,$2627,$6006
23,MT,Deer Lodge County,4399,8095,$154130,$107655,$2654,$5585
25,MT,Fallon County,1275,2716,$67798,$44442,$885,$2214
27,MT,Fergus County,5392,10558,$209642,$118696,$6705,$12258
29,MT,Flathead County,41103,82070,$1979150,$1219316,$51094,$91088
31,MT,Gallatin County,39377,74492,$2231406,$1369936,$69241,$83862
33,MT,Garfield County,497,1077,$20144,$8486,$597,$1306
35,MT,Glacier County,5469,11863,$153746,$119200,$5038,$3414
37,MT,Golden Valley County,494,932,$17477,$8462,$1147,$1068
39,MT,Granite County,1305,2476,$49328,$28434,$1235,$3074
41,MT,Hill County,7315,15403,$292415,$205866,$9993,$17440
43,MT,Jefferson County,4766,10279,$259307,$178295,$4386,$7533
45,MT,Judith Basin County,927,1805,$29719,$15255,$1007,$2973
47,MT,Lake County,11679,24310,$461389,$275195,$12474,$23220
49,MT,Lewis and Clark County,29019,56826,$1411486,$973162,$30705,$41641
51,MT,Liberty County,879,1589,$30060,$13721,$2835,$2305
53,MT,Lincoln County,8983,17485,$300285,$182837,$5443,$13300
55,MT,McCone County,698,1483,$24477,$16252,$512,$2078
57,MT,Madison County,3256,6343,$153855,$80219,$5375,$7875
59,MT,Meagher County,1062,1856,$32166,$15432,$2443,$1538
61,MT,Mineral County,1967,3822,$65696,$42605,$806,$2601
63,MT,Missoula County,48778,90031,$2278522,$1521491,$56642,$81437
65,MT,Musselshell County,1989,3932,$67123,$44152,$2624,$2997
67,MT,Park County,7680,14371,$356024,$207525,$15885,$17671
69,MT,Petroleum County,178,355,$5546,$2828,$86,$340
71,MT,Phillips County,1915,3946,$64640,$39734,$1720,$3867
73,MT,Pondera County,2855,5708,$91415,$57780,$4878,$5219
75,MT,Powder River County,667,1414,$23032,$13885,$414,$1657
77,MT,Powell County,2642,5175,$95299,$64206,$1587,$4095
79,MT,Prairie County,557,1064,$19253,$11411,$393,$1547
81,MT,Ravalli County,17678,36159,$772160,$448022,$20992,$39276
83,MT,Richland County,4407,9108,$248541,$152055,$4545,$7955
85,MT,Roosevelt County,4063,9106,$122994,$95570,$1192,$4025
87,MT,Rosebud County,3865,9034,$167678,$134088,$2294,$3735
89,MT,Sanders County,5124,10090,$166965,$97187,$3338,$8722
91,MT,Sheridan County,1736,3324,$72321,$40008,$2259,$4970
93,MT,Silver Bow County,15913,29989,$613594,$464407,$11886,$22770
95,MT,Stillwater County,3891,8261,$205310,$139007,$5431,$8388
97,MT,Sweet Grass County,1560,3287,$69235,$43823,$3082,$4779
99,MT,Teton County,2979,5898,$113796,$63421,$5580,$6448
101,MT,Toole County,2251,4330,$84721,$55853,$4585,$4677
103,MT,Treasure County,371,771,$18008,$9212,$580,$1250
105,MT,Valley County,3393,6830,$125674,$81966,$3485,$7489
107,MT,Wheatland County,1031,1883,$28555,$17444,$2458,$1410
109,MT,Wibaux County,426,848,$15521,$9923,$277,$675
111,MT,Yellowstone County,66733,131069,$3412878,$2381718,$80590,$112223
1,NE,Adams County,13650,28565,$666250,$434656,$20851,$32345
3,NE,Antelope County,2978,6494,$88876,$71102,$2288,$6592
5,NE,Arthur County,195,436,$5496,$3573,$160,$543
7,NE,Banner County,266,596,$9066,$6598,$157,$548
9,NE,Blaine County,186,420,$6146,$3071,$336,$628
11,NE,Boone County,2546,5547,$103674,$66819,$1925,$6816
13,NE,Box Butte County,5283,11213,$250603,$192180,$3793,$8170
15,NE,Boyd County,987,2026,$25571,$17200,$604,$1985
17,NE,Brown County,1460,2965,$44199,$30030,$1141,$3878
19,NE,Buffalo County,19016,39969,$1022917,$686444,$59747,$37030
21,NE,Burt County,3294,6928,$128912,$88305,$1849,$5548
23,NE,Butler County,4151,8727,$167429,$116829,$2592,$8196
25,NE,Cass County,11204,24504,$622330,$453844,$7442,$16478
27,NE,Cedar County,3846,8739,$158987,$100297,$2378,$8999
29,NE,Chase County,1691,3633,$83125,$41965,$1590,$5135
31,NE,Cherry County,2563,5296,$89729,$55750,$2303,$7414
33,NE,Cheyenne County,4703,9679,$232375,$178647,$3456,$9505
35,NE,Clay County,2880,6325,$122582,$78319,$2431,$5828
37,NE,Colfax County,4106,9773,$165888,$118496,$2190,$8353
39,NE,Cuming County,4102,9166,$178988,$119249,$3491,$9924
41,NE,Custer County,4939,10638,$164274,$117798,$4060,$10968
43,NE,Dakota County,9006,21009,$343402,$283637,$2830,$8823
45,NE,Dawes County,3587,7119,$128934,$91357,$2751,$5478
47,NE,Dawson County,10446,23912,$392101,$302995,$5542,$13061
49,NE,Deuel County,909,1806,$34764,$22038,$978,$2311
51,NE,Dixon County,2584,5800,$102822,$76252,$1168,$3954
53,NE,Dodge County,16856,34757,$742290,$514939,$14254,$28511
55,NE,Douglas County,227234,466813,$14088497,$10161845,$352416,$501378
57,NE,Dundy County,876,1812,$33140,$16895,$1584,$2871
59,NE,Fillmore County,2777,5837,$126216,$74734,$2909,$7646
61,NE,Franklin County,1508,3094,$55789,$32557,$3091,$3604
63,NE,Frontier County,1134,2475,$43171,$28761,$2217,$2237
65,NE,Furnas County,2304,4804,$76502,$52309,$1605,$5125
67,NE,Gage County,10692,21773,$431959,$304532,$9654,$18018
69,NE,Garden County,977,1903,$38312,$19086,$1826,$5103
71,NE,Garfield County,818,1730,$29430,$15888,$915,$2922
73,NE,Gosper County,924,1990,$42502,$26016,$830,$2219
75,NE,Grant County,321,679,$12914,$7614,$359,$818
77,NE,Greeley County,1128,2422,$29710,$22396,$691,$2643
79,NE,Hall County,24734,53397,$1181807,$818849,$21103,$55995
81,NE,Hamilton County,4078,9303,$211455,$137131,$3939,$8974
83,NE,Harlan County,1472,3097,$52356,$33882,$853,$2795
85,NE,Hayes County,396,895,$9725,$7914,$257,$919
87,NE,Hitchcock County,1382,2847,$45604,$30695,$1281,$2446
89,NE,Holt County,4749,10279,$162197,$110930,$3732,$10128
91,NE,Hooker County,377,803,$11975,$7995,$128,$859
93,NE,Howard County,2812,6111,$100317,$79930,$1409,$5588
95,NE,Jefferson County,3638,7312,$149947,$92422,$3408,$8732
97,NE,Johnson County,2016,4202,$74297,$54750,$1514,$3169
99,NE,Kearney County,2869,6209,$140094,$86029,$3166,$5869
101,NE,Keith County,3836,7827,$150814,$102071,$3135,$7197
103,NE,Keya Paha County,393,837,$8877,$6352,$305,$1043
105,NE,Kimball County,1722,3463,$75061,$44122,$2307,$3712
107,NE,Knox County,3945,8417,$130037,$85455,$2307,$9021
109,NE,Lancaster County,122288,244952,$6686514,$4753249,$165748,$219224
111,NE,Lincoln County,16368,34477,$749299,$559702,$11603,$24551
113,NE,Logan County,338,704,$11658,$7877,$194,$575
115,NE,Loup County,266,579,$6290,$4910,$202,$556
117,NE,McPherson County,215,519,$7286,$5756,$243,$426
119,NE,Madison County,15648,33200,$726593,$513034,$18809,$27304
121,NE,Merrick County,3454,7403,$134494,$92495,$1991,$6205
123,NE,Morrill County,2209,4765,$87773,$59370,$1363,$4200
125,NE,Nance County,1619,3456,$53368,$38184,$514,$3454
127,NE,Nemaha County,3179,6553,$143633,$101966,$2239,$5749
129,NE,Nuckolls County,2204,4485,$76291,$47411,$1704,$4292
131,NE,Otoe County,7214,15371,$349686,$245865,$8037,$12661
133,NE,Pawnee County,1270,2497,$41375,$24508,$1137,$2916
135,NE,Perkins County,1270,2813,$57322,$32592,$1034,$2921
137,NE,Phelps County,4127,8896,$191095,$123016,$3813,$8610
139,NE,Pierce County,3127,7054,$130936,$94600,$1848,$5722
141,NE,Platte County,14069,31155,$726984,$492953,$13397,$27654
143,NE,Polk County,2432,5308,$109957,$67546,$1975,$5239
145,NE,Red Willow County,4980,10332,$207573,$139522,$3770,$12418
147,NE,Richardson County,4153,8144,$147587,$98295,$3427,$7516
149,NE,Rock County,591,1165,$19763,$11151,$433,$1638
151,NE,Saline County,5944,13119,$245989,$184854,$3164,$10608
153,NE,Sarpy County,65950,149084,$4046541,$3177092,$47584,$72754
155,NE,Saunders County,8873,19512,$457325,$327186,$5865,$16357
157,NE,Scotts Bluff County,16760,34189,$658326,$499385,$12030,$22972
159,NE,Seward County,6868,15290,$365693,$253495,$6490,$12743
161,NE,Sheridan County,2483,5106,$86302,$53498,$2170,$5196
163,NE,Sherman County,1432,2993,$44763,$32577,$793,$2919
165,NE,Sioux County,482,1033,$16209,$10359,$412,$1212
167,NE,Stanton County,2481,5669,$103003,$82784,$1324,$3625
169,NE,Thayer County,2489,5187,$95428,$61597,$2769,$7143
171,NE,Thomas County,301,643,$9528,$7884,$528,$869
173,NE,Thurston County,2665,6453,$87913,$63689,$1957,$3289
175,NE,Valley County,1956,4100,$64843,$46616,$1113,$4756
177,NE,Washington County,8480,19053,$525874,$395310,$10951,$14525
179,NE,Wayne County,3401,7415,$152044,$104933,$3276,$6670
181,NE,Webster County,1714,3562,$59565,$37545,$1215,$3989
183,NE,Wheeler County,340,747,$9352,$7173,$217,$888
185,NE,York County,6196,13071,$280833,$186034,$5788,$14688
1,NV,Churchill County,11120,23341,$498753,$355531,$5653,$17163
3,NV,Clark County,837452,1738555,$45733991,$33270626,$775605,$1558660
5,NV,Douglas County,22850,44508,$1678025,$850795,$81894,$104364
7,NV,Elko County,19740,44633,$1123204,$925311,$17817,$21700
9,NV,Esmeralda County,405,749,$14346,$9780,$280,$623
11,NV,Eureka County,681,1441,$34672,$26454,$258,$871
13,NV,Humboldt County,7164,15756,$373522,$301027,$3602,$9470
15,NV,Lander County,2375,5390,$131432,$108174,$779,$2351
17,NV,Lincoln County,1819,3948,$79590,$53132,$1026,$2973
19,NV,Lyon County,23467,49033,$1059267,$779700,$20877,$35865
21,NV,Mineral County,2409,4317,$77977,$55173,$460,$2313
23,NV,Nye County,20442,40258,$859692,$542625,$15968,$38223
27,NV,Pershing County,2075,4469,$89197,$72128,$896,$2305
29,NV,Storey County,2309,4257,$128981,$91460,$2461,$4156
31,NV,Washoe County,189031,373177,$11841327,$7740902,$392391,$504623
33,NV,White Pine County,4087,8185,$185497,$141890,$2008,$4850
510,NV,Carson City,26309,50550,$1363169,$897747,$29196,$64185
1,NH,Belknap County,30688,59204,$1692649,$1149388,$46340,$68108
3,NH,Carroll County,23824,45032,$1393769,$718583,$69588,$71445
5,NH,Cheshire County,36224,69444,$1915587,$1355111,$64713,$66121
7,NH,Coos County,17266,32099,$611979,$443751,$10464,$20617
9,NH,Grafton County,40779,76718,$2359989,$1570845,$93228,$93369
11,NH,Hillsborough County,187016,379241,$12063596,$9492065,$217938,$349993
13,NH,Merrimack County,68432,136003,$3998548,$2930340,$103799,$117778
15,NH,Rockingham County,139270,285313,$10142093,$7433997,$226185,$289759
17,NH,Strafford County,56696,109119,$2945760,$2283229,$50403,$70868
19,NH,Sullivan County,21040,40609,$1051030,$739665,$31575,$35660
1,NJ,Atlantic County,132207,265198,$6717277,$4903705,$117126,$204451
3,NJ,Bergen County,395911,816611,$36938196,$26059667,$1056107,$1768736
5,NJ,Burlington County,203523,422027,$14322599,$10896216,$249637,$374946
7,NJ,Camden County,237818,485554,$13337048,$10393353,$223022,$345631
9,NJ,Cape May County,47953,91103,$2605797,$1610114,$72888,$120732
11,NJ,Cumberland County,68774,143901,$2869106,$2217193,$43397,$74822
13,NJ,Essex County,342296,681781,$22494915,$17204735,$494754,$831391
15,NJ,Gloucester County,127691,272762,$7969859,$6379726,$95518,$156715
17,NJ,Hudson County,298871,540448,$15184482,$13234153,$144372,$336138
19,NJ,Hunterdon County,53529,119307,$6101129,$4506589,$153565,$193737
21,NJ,Mercer County,158938,320739,$12684928,$9385253,$318956,$403906
23,NJ,Middlesex County,357308,752213,$24240119,$19378778,$410376,$776222
25,NJ,Monmouth County,270908,580415,$25160716,$18055174,$620525,$964014
27,NJ,Morris County,211995,457570,$23335384,$17246549,$602346,$888927
29,NJ,Ocean County,259587,530109,$14775743,$9859846,$381822,$649200
31,NJ,Passaic County,227472,471022,$11927614,$9449398,$200973,$386068
33,NJ,Salem County,31033,64015,$1658949,$1237245,$34213,$40123
35,NJ,Somerset County,138265,301110,$15554927,$11662688,$434092,$562189
37,NJ,Sussex County,64800,142820,$4946082,$3877669,$80925,$120210
39,NJ,Union County,240688,490897,$16990053,$13089194,$381049,$625931
41,NJ,Warren County,49476,104521,$3209950,$2497529,$60250,$86571
1,NM,Bernalillo County,284774,556923,$14119331,$10066012,$290705,$412600
3,NM,Catron County,1529,2769,$45647,$21848,$1075,$2522
5,NM,Chaves County,26050,56011,$920886,$646898,$19198,$30625
6,NM,Cibola County,10009,20859,$300016,$245859,$2120,$4841
7,NM,Colfax County,6327,12004,$224031,$144174,$4681,$9217
9,NM,Curry County,19146,42539,$654699,$505659,$8654,$23229
11,NM,De Baca County,935,1877,$34291,$18599,$588,$1639
13,NM,Dona Ana County,80748,173073,$3011975,$2125127,$47419,$88246
15,NM,Eddy County,22586,48153,$1024462,$758158,$11292,$23818
17,NM,Grant County,13858,26969,$499124,$324921,$13292,$19994
19,NM,Guadalupe County,2018,3916,$48513,$39532,$393,$1241
21,NM,Harding County,330,607,$8870,$5332,$195,$615
23,NM,Hidalgo County,2275,4703,$67531,$54779,$652,$1744
25,NM,Lea County,24296,56050,$1102474,$863380,$12774,$20731
27,NM,Lincoln County,8980,17237,$475813,$197143,$10245,$24680
28,NM,Los Alamos County,7936,17676,$810551,$553735,$21817,$25478
29,NM,Luna County,11683,24815,$296603,$205814,$4187,$9916
31,NM,McKinley County,33539,76998,$910621,$760934,$4100,$11495
33,NM,Mora County,2354,4382,$56764,$40490,$765,$1770
35,NM,Otero County,25535,52910,$890663,$624605,$9542,$23830
37,NM,Quay County,4260,8065,$102484,$72928,$1815,$4720
39,NM,Rio Arriba County,17741,35225,$642047,$478305,$5420,$12938
41,NM,Roosevelt County,7455,16009,$213468,$170275,$2683,$8403
43,NM,Sandoval County,53234,113738,$2737013,$2049539,$41005,$61173
45,NM,San Juan County,54584,123629,$2435494,$1896197,$23531,$46179
47,NM,San Miguel County,12267,23080,$353855,$257375,$3830,$9739
49,NM,Santa Fe County,63089,118308,$3826067,$2188064,$168168,$169910
51,NM,Sierra County,5716,10105,$148969,$83318,$3603,$7261
53,NM,Socorro County,7437,15102,$228865,$172702,$3236,$6200
55,NM,Taos County,15295,27587,$528262,$318397,$17417,$21513
57,NM,Torrance County,6158,13075,$189829,$150811,$1669,$4197
59,NM,Union County,1799,3672,$57086,$40316,$976,$3203
61,NM,Valencia County,30441,65253,$1177727,$886092,$18051,$27843
1,NY,Albany County,141679,263833,$8114819,$5779716,$203901,$270861
3,NY,Allegany County,20185,41647,$750040,$547054,$11987,$16597
5,NY,Bronx County,624801,1175457,$19427470,$16749711,$126080,$332662
7,NY,Broome County,92564,176505,$4114445,$2909980,$90363,$127570
9,NY,Cattaraugus County,37286,73409,$1385994,$1023661,$23195,$29604
11,NY,Cayuga County,35755,70446,$1505695,$1130961,$22888,$37457
13,NY,Chautauqua County,61248,120540,$2310647,$1663612,$44657,$57418
15,NY,Chemung County,41025,80292,$1774746,$1282649,$34263,$49582
17,NY,Chenango County,24538,49414,$915014,$677495,$17430,$23821
19,NY,Clinton County,36850,71588,$1594910,$1201396,$17153,$37377
21,NY,Columbia County,29216,56164,$1528246,$999756,$42550,$61804
23,NY,Cortland County,20972,41544,$856042,$651962,$13860,$21746
25,NY,Delaware County,20280,39091,$806638,$520015,$21852,$31769
27,NY,Dutchess County,124911,258698,$8241563,$6098289,$166497,$250425
29,NY,Erie County,428162,827062,$21057930,$15182674,$408430,$646961
31,NY,Essex County,17674,33838,$763736,$510892,$21397,$27604
33,NY,Franklin County,21435,42781,$796331,$594773,$10618,$18343
35,NY,Fulton County,27185,52603,$1041988,$757042,$17403,$28284
37,NY,Genesee County,27795,55965,$1182933,$894308,$17953,$27723
39,NY,Greene County,22035,42552,$983285,$687864,$20763,$31626
41,NY,Hamilton County,2439,4539,$107573,$59639,$3802,$5063
43,NY,Herkimer County,29991,59372,$1127215,$832869,$19260,$31487
45,NY,Jefferson County,51642,107040,$1935605,$1494231,$26317,$42360
47,NY,Kings County,1045236,2007469,$41703726,$34191468,$460766,$1172844
49,NY,Lewis County,10824,22925,$421066,$295423,$7323,$10810
51,NY,Livingston County,27833,56212,$1273638,$944791,$17929,$29222
53,NY,Madison County,29844,60984,$1429874,$1045250,$29603,$36502
55,NY,Monroe County,337816,665839,$18600152,$13085621,$511221,$571408
57,NY,Montgomery County,24809,47842,$929898,$699848,$18838,$25725
59,NY,Nassau County,589851,1220655,$53157631,$36421138,$1452164,$2764969
61,NY,New York County,813223,1248860,$83802498,$58727389,$2881588,$3998916
63,NY,Niagara County,103083,201396,$4513447,$3332934,$62193,$118038
65,NY,Oneida County,107004,207624,$4593863,$3299035,$90242,$134905
67,NY,Onondaga County,212007,418357,$11276223,$8089816,$236395,$309266
69,NY,Ontario County,48797,98835,$2636958,$1867110,$56079,$69624
71,NY,Orange County,156112,342133,$9462165,$7468368,$125079,$220125
73,NY,Orleans County,18871,38347,$745410,$536726,$8940,$16519
75,NY,Oswego County,54654,112009,$2220317,$1737749,$22481,$42671
77,NY,Otsego County,27288,53138,$1172569,$805814,$30477,$41740
79,NY,Putnam County,41671,90660,$3516947,$2648529,$57394,$92357
81,NY,Queens County,988972,1883693,$41987938,$33386878,$573025,$1548681
83,NY,Rensselaer County,74572,143305,$3716479,$2831369,$60207,$90742
85,NY,Richmond County,196786,406179,$12198121,$9438130,$151262,$389510
87,NY,Rockland County,123263,274301,$9646077,$7008757,$249567,$342498
89,NY,St. Lawrence County,46924,94319,$1812209,$1340586,$28613,$43383
91,NY,Saratoga County,100301,204276,$6244157,$4609550,$134869,$158760
93,NY,Schenectady County,72085,141324,$3802820,$2687315,$126998,$124678
95,NY,Schoharie County,14249,28196,$602460,$430134,$11035,$14613
97,NY,Schuyler County,8901,17503,$342951,$251788,$4460,$8333
99,NY,Seneca County,15361,30623,$628828,$452924,$10045,$17120
101,NY,Steuben County,45231,91649,$1973546,$1483453,$27632,$44863
103,NY,Suffolk County,665519,1382151,$48818861,$35478599,$893744,$2889255
105,NY,Sullivan County,34006,67922,$1507044,$1104517,$28106,$54141
107,NY,Tioga County,23664,49399,$1086146,$806807,$18765,$26117
109,NY,Tompkins County,39244,72843,$2132235,$1486508,$64072,$72833
111,NY,Ulster County,82248,159221,$4252382,$3049478,$94544,$143138
113,NY,Warren County,32427,62553,$1614371,$1067256,$44806,$54922
115,NY,Washington County,28212,55698,$1122812,$825623,$18187,$27895
117,NY,Wayne County,43513,90237,$1962318,$1485738,$25331,$40779
119,NY,Westchester County,403401,814066,$43144509,$29626923,$1323203,$2324726
121,NY,Wyoming County,18369,37270,$772270,$581180,$11104,$18330
123,NY,Yates County,11073,22997,$450678,$281100,$11114,$15273
1,NC,Alamance County,65946,138292,$2881245,$2133347,$55663,$85412
3,NC,Alexander County,16284,33899,$627262,$480677,$9495,$16443
5,NC,Alleghany County,4935,10028,$173231,$101019,$5909,$8674
7,NC,Anson County,11269,22789,$327368,$254773,$4519,$8559
9,NC,Ashe County,12065,23695,$414373,$267138,$7386,$19008
11,NC,Avery County,7387,14606,$264305,$168145,$6304,$10710
13,NC,Beaufort County,21983,44462,$848445,$546974,$22382,$31480
15,NC,Bertie County,9787,19577,$279103,$210710,$3388,$7634
17,NC,Bladen County,14800,30219,$452017,$342427,$4342,$10545
19,NC,Brunswick County,45694,89807,$2167867,$1228241,$55168,$81973
21,NC,Buncombe County,108906,208455,$5046070,$3327046,$163510,$181637
23,NC,Burke County,41116,84135,$1435629,$1075154,$24199,$39591
25,NC,Cabarrus County,73385,166423,$4057070,$3142065,$55634,$74533
27,NC,Caldwell County,37486,76831,$1317978,$989147,$20006,$30664
29,NC,Camden County,4098,9227,$216575,$163426,$1839,$4720
31,NC,Carteret County,29493,57203,$1392140,$834485,$35447,$54589
33,NC,Caswell County,10399,21224,$348271,$272405,$3624,$8615
35,NC,Catawba County,70727,150081,$3326051,$2440082,$77901,$97878
37,NC,Chatham County,28265,59622,$1761048,$1133648,$65983,$69852
39,NC,Cherokee County,12353,24297,$382483,$241271,$6225,$16386
41,NC,Chowan County,6762,13580,$265423,$174872,$6513,$14691
43,NC,Clay County,4597,8996,$150287,$100597,$4556,$9175
45,NC,Cleveland County,44850,93648,$1648347,$1235732,$25225,$39569
47,NC,Columbus County,24600,50124,$763896,$577739,$14969,$21693
49,NC,Craven County,45385,92984,$1999872,$1349769,$40838,$58237
51,NC,Cumberland County,135848,289238,$5140294,$3969506,$52510,$100260
53,NC,Currituck County,9772,20885,$490207,$352984,$5919,$11182
55,NC,Dare County,15951,30831,$820769,$472978,$21976,$31751
57,NC,Davidson County,73458,153961,$2981694,$2286851,$49567,$80491
59,NC,Davie County,17576,38038,$996278,$686494,$28842,$34594
61,NC,Duplin County,21886,48133,$698208,$523479,$9385,$19891
63,NC,Durham County,113816,235344,$6139103,$4661290,$142030,$152849
65,NC,Edgecombe County,25752,53432,$784887,$610129,$14169,$17291
67,NC,Forsyth County,151485,315027,$8240567,$5707892,$258609,$259485
69,NC,Franklin County,24649,52499,$1004594,$794940,$7215,$23002
71,NC,Gaston County,92451,193980,$3951917,$3095014,$60102,$78531
73,NC,Gates County,4968,10513,$195955,$150476,$1967,$5444
75,NC,Graham County,3728,7576,$112775,$75614,$878,$3492
77,NC,Granville County,23212,49663,$991312,$769415,$16859,$21720
79,NC,Greene County,7662,16523,$250222,$191284,$1754,$6098
81,NC,Guilford County,210487,429899,$11039974,$7969935,$275159,$308217
83,NC,Halifax County,25664,51187,$797573,$569828,$11818,$21126
85,NC,Harnett County,43395,96929,$1653203,$1311168,$15444,$33543
87,NC,Haywood County,27031,53002,$1095814,$704664,$21174,$39576
89,NC,Henderson County,46732,95717,$2240844,$1286201,$90954,$104502
91,NC,Hertford County,9666,19139,$301407,$233986,$3600,$8799
93,NC,Hoke County,16996,38848,$550985,$469810,$3475,$6478
95,NC,Hyde County,2248,4337,$69416,$43668,$1947,$2856
97,NC,Iredell County,68523,148382,$3777378,$2766347,$66227,$95449
99,NC,Jackson County,14379,27149,$589671,$379549,$13764,$21160
101,NC,Johnston County,66214,151165,$3079761,$2486368,$32119,$62389
103,NC,Jones County,4990,9806,$156757,$112546,$1452,$3958
105,NC,Lee County,23863,52514,$1035699,$761059,$22597,$26633
107,NC,Lenoir County,27084,54637,$966313,$673163,$20949,$30696
109,NC,Lincoln County,33797,73719,$1610461,$1243871,$26940,$36570
111,NC,McDowell County,20155,41384,$654112,$502033,$7330,$15162
113,NC,Macon County,15403,30582,$650577,$348210,$18983,$32348
115,NC,Madison County,8877,17791,$301552,$216541,$3927,$9248
117,NC,Martin County,11674,23284,$370455,$270628,$6199,$11954
119,NC,Mecklenburg County,384630,803067,$24928902,$19191959,$556188,$658317
121,NC,Mitchell County,7191,14500,$234963,$162437,$3736,$6822
123,NC,Montgomery County,11619,25605,$399091,$290473,$8665,$13587
125,NC,Moore County,38377,78247,$2116409,$1180078,$95383,$105827
127,NC,Nash County,43813,92723,$1837171,$1370407,$30815,$47760
129,NC,New Hanover County,85216,161735,$4525349,$2960381,$133699,$155910
131,NC,Northampton County,10172,19696,$292801,$212501,$4290,$7688
133,NC,Onslow County,70960,151575,$2478910,$1939010,$18205,$44184
135,NC,Orange County,49546,103974,$3806741,$2657703,$130422,$122242
137,NC,Pamlico County,5703,11256,$246272,$138783,$6211,$9556
139,NC,Pasquotank County,17305,35589,$702967,$516439,$10398,$15831
141,NC,Pender County,21125,44151,$889701,$631980,$14323,$23410
143,NC,Perquimans County,6019,12032,$237878,$149473,$4135,$7457
145,NC,Person County,17390,35747,$692348,$534177,$8710,$16604
147,NC,Pitt County,64533,131318,$2926545,$2158740,$49215,$78480
149,NC,Polk County,8790,17301,$428614,$218340,$23775,$25453
151,NC,Randolph County,62424,135169,$2411508,$1893969,$27737,$58090
153,NC,Richmond County,20892,43022,$621247,$479283,$7428,$13499
155,NC,Robeson County,52885,112851,$1451684,$1164104,$16768,$27863
157,NC,Rockingham County,43666,89196,$1607872,$1207770,$27584,$43984
159,NC,Rowan County,61633,130180,$2538286,$1882952,$53675,$64277
161,NC,Rutherford County,29248,59601,$974094,$693860,$14603,$29274
163,NC,Sampson County,26898,58785,$906245,$698714,$12043,$22704
165,NC,Scotland County,16305,33786,$507623,$382929,$8042,$10508
167,NC,Stanly County,26774,55871,$1097591,$804637,$14861,$31461
169,NC,Stokes County,20638,42977,$827361,$646103,$7500,$19029
171,NC,Surry County,33276,69589,$1211693,$885725,$25001,$44607
173,NC,Swain County,8260,15725,$275455,$171998,$2190,$6733
175,NC,Transylvania County,13725,26649,$599656,$301253,$29618,$33985
177,NC,Tyrrell County,1757,3530,$46618,$33876,$622,$1590
179,NC,Union County,73811,183592,$4834753,$3821349,$64957,$95008
181,NC,Vance County,19904,41515,$634074,$478603,$10754,$18030
183,NC,Wake County,354076,782159,$25119552,$19441535,$496394,$586230
185,NC,Warren County,8708,17304,$254785,$180663,$4392,$7320
187,NC,Washington County,6088,12500,$195134,$136499,$3914,$5705
189,NC,Watauga County,17151,32602,$821828,$517984,$23146,$35153
191,NC,Wayne County,50891,106278,$1931492,$1432731,$32368,$46855
193,NC,Wilkes County,30718,62860,$1109026,$777520,$23415,$32849
195,NC,Wilson County,35193,74171,$1428759,$1058874,$26624,$38744
197,NC,Yadkin County,17078,36237,$664824,$493993,$9927,$18382
199,NC,Yancey County,8115,16541,$271645,$179582,$4216,$11568
1,ND,Adams County,1109,2212,$41124,$27985,$724,$2153
3,ND,Barnes County,5104,10149,$225160,$134313,$4968,$11512
5,ND,Benson County,2714,6141,$80939,$53616,$880,$4351
7,ND,Billings County,391,746,$19540,$10226,$284,$1185
9,ND,Bottineau County,3011,6053,$167894,$75869,$3218,$7826
11,ND,Bowman County,1471,3050,$79284,$42152,$1357,$4529
13,ND,Burke County,978,1883,$42799,$25147,$1036,$2407
15,ND,Burleigh County,36213,72617,$2063620,$1480285,$32998,$67397
17,ND,Cass County,65494,126157,$3743685,$2712199,$66722,$121163
19,ND,Cavalier County,1957,3991,$94852,$42571,$2119,$5986
21,ND,Dickey County,2321,4868,$101668,$59994,$1717,$3995
23,ND,Divide County,966,1897,$45342,$20360,$1150,$2817
25,ND,Dunn County,1424,3079,$56504,$37949,$911,$2495
27,ND,Eddy County,1137,2307,$41489,$25329,$589,$2355
29,ND,Emmons County,1702,3540,$56489,$32050,$844,$4357
31,ND,Foster County,1605,3346,$76774,$44052,$1280,$4143
33,ND,Golden Valley County,766,1541,$31933,$18567,$634,$1707
35,ND,Grand Forks County,28907,56272,$1446562,$1053082,$23118,$49781
37,ND,Grant County,1192,2323,$30021,$18967,$413,$3141
39,ND,Griggs County,1157,2319,$46840,$25636,$1339,$3240
41,ND,Hettinger County,1152,2298,$43798,$21920,$935,$3009
43,ND,Kidder County,1174,2384,$33043,$23359,$741,$2517
45,ND,LaMoure County,1945,3948,$86108,$44408,$1421,$5521
47,ND,Logan County,930,1935,$28346,$16738,$544,$2741
49,ND,McHenry County,2609,5139,$88734,$62034,$1277,$4807
