County Code,State Abbreviation,County Name,Total Number of Tax Returns,Total Number of Exemptions,Adjusted Gross Income (In Thousands),Wages and Salaries Incomes (In Thousands),Dividend Incomes (In Thousands),Interest Income (In Thousands)
163,MS,Yazoo County,11014,23256,$314220,$240986,$4229,$8109
1,MO,Adair County,9472,18944,$364141,$245889,$16432,$16957
3,MO,Andrew County,8208,17296,$380147,$284775,$11708,$11971
5,MO,Atchison County,2815,5581,$113329,$68237,$2091,$5130
7,MO,Audrain County,10997,22707,$407777,$286701,$8529,$17442
9,MO,Barry County,15395,32683,$543093,$359656,$9777,$24340
11,MO,Barton County,5521,11972,$183001,$127060,$2724,$8257
13,MO,Bates County,7562,15932,$264164,$199153,$4197,$10236
15,MO,Benton County,8836,17247,$253539,$156277,$3795,$11230
17,MO,Bollinger County,5301,11201,$163631,$121715,$1885,$5315
19,MO,Boone County,64567,127003,$3391020,$2420694,$96655,$111161
21,MO,Buchanan County,39364,77753,$1613731,$1214173,$24770,$50249
23,MO,Butler County,19706,38806,$619358,$424526,$8231,$23151
25,MO,Caldwell County,3963,8490,$150547,$113654,$1211,$5320
27,MO,Callaway County,18640,38187,$775441,$594532,$10160,$20429
29,MO,Camden County,18920,37122,$824652,$471958,$21282,$36969
31,MO,Cape Girardeau County,32209,65609,$1649707,$1123295,$38666,$65426
33,MO,Carroll County,4423,9067,$163991,$108676,$2740,$8791
35,MO,Carter County,2823,5810,$71505,$53375,$636,$3305
37,MO,Cass County,42256,92993,$2259223,$1726949,$30384,$59170
39,MO,Cedar County,6233,12642,$170323,$115356,$3216,$9004
41,MO,Chariton County,3633,7418,$137063,$88090,$2115,$7785
43,MO,Christian County,31420,69658,$1491591,$1103341,$17920,$39688
45,MO,Clark County,3256,6734,$112859,$78064,$1669,$4527
47,MO,Clay County,98177,204084,$5462431,$4334409,$65804,$119490
49,MO,Clinton County,9257,19780,$432821,$331277,$4053,$12372
51,MO,Cole County,32732,67480,$1755673,$1213529,$33112,$67200
53,MO,Cooper County,7468,15153,$277979,$209841,$4622,$11166
55,MO,Crawford County,10884,22697,$357684,$262970,$4815,$12091
57,MO,Dade County,3539,7300,$107146,$73792,$1672,$5319
59,MO,Dallas County,7306,15370,$211990,$153715,$3554,$8844
61,MO,Daviess County,3603,8001,$124232,$86840,$1769,$5204
