state_code,msamd,census_tract_number
48,41700,3108.00
48,21340,0038.01
41,38900,0058.00
39,18140,0011.20
40,36420,2014.02
48,19124,0178.08
45,34820,0707.00
34,20764,7227.01
39,45780,0055.03
42,42540,2122.00
48,18580,0001.00
51,,
39,19380,2405.00
28,,0202.00
53,42644,0309.01
32,29820,0032.09
34,35644,1803.00
39,17140,0050.00
46,,9616.00
56,,9580.00
36,39100,0117.00
29,41180,7006.04
55,24580,0215.00
53,13380,0007.00
27,33460,0308.00
27,33460,0511.01
34,,0211.02
51,47260,2121.00
42,30140,0020.00
36,46540,0227.01
37,25860,0405.00
31,36540,0044.00
49,,9901.00
36,35644,0504.00
42,37964,1050.06
34,20764,0006.06
34,35084,3729.00
34,35084,0462.97
48,19124,0201.02
39,17460,1206.00
54,,0114.00
27,33460,0608.22
36,40380,0514.00
34,20764,7170.02
39,,9668.00
41,38900,0326.03
36,35644,0768.00
48,26420,4515.00
45,17900,0107.01
53,42644,0046.00
48,11100,0116.00
37,24660,0308.02
48,19124,0308.00
47,17300,1008.00
42,37964,2088.02
42,39740,0140.00
48,48660,0137.00
36,35644,0570.00
34,35644,0129.00
51,40060,2001.24
37,39580,0531.03
28,32820,0706.30
39,,9644.00
39,17460,1861.07
34,20764,0012.00
39,18140,0093.74
53,44060,0009.00
53,44060,0131.00
48,47380,0004.00
39,17140,0218.02
55,29100,0008.00
42,21500,0116.00
53,42644,0317.02
41,38900,0235.00
53,42644,0533.02
47,32820,0051.00
45,16700,0031.10
37,24660,0108.02
37,49180,0801.00
29,44180,0204.00
53,42644,0519.11
39,17460,0239.00
53,42644,0413.01
36,35644,0713.02
53,42644,0048.00
36,15380,0132.02
54,37620,0105.02
39,17140,0215.05
42,,9802.00
53,45104,0712.05
55,24580,0017.00
48,19124,0093.01
42,37964,0341.00
28,27140,0301.04
42,38300,4950.00
39,17460,4081.00
37,22180,0020.00
27,33460,0230.00
39,45780,0085.00
41,38900,0008.01
36,,0241.02
45,16700,0022.00
27,31860,9712.00
36,35004,5208.00
39,18140,7571.00
47,,1105.00
40,36420,1059.06
51,47894,0201.03
40,36420,1069.02
39,18140,0203.10
42,49620,0104.00
42,38300,2606.00
45,24860,0107.00
48,41700,1707.00
42,42540,2120.00
37,24660,0142.00
34,20764,8086.00
36,15380,0103.00
48,19124,0076.04
37,48900,0204.01
47,34980,0403.02
48,19124,0172.02
29,28140,0136.02
47,,0114.00
48,41700,1807.01
29,41180,2170.00
34,12100,0115.00
35,10740,0009.03
34,35644,0166.00
51,40060,5001.02
34,12100,0114.02
34,12100,0104.01
49,41620,1135.30
41,32780,0027.00
39,,9777.00
39,48260,0123.00
34,35644,1756.00
48,19124,0141.12
36,35644,0044.01
47,17420,0111.00
37,,0063.02
42,38300,7452.00
48,23104,1138.06
37,24660,0109.00
29,28140,0142.03
36,15380,0015.00
48,19124,0316.50
55,24580,9605.00
72,41980,0403.01
55,31540,0115.06
42,37964,0322.00
40,,0017.00
48,,9502.01
34,20764,0031.02
55,33340,0136.00
29,28140,0202.01
29,41180,3111.34
34,20764,7101.00
53,38900,0413.22
34,20764,0081.02
41,38900,0229.03
41,38900,0308.03
29,41180,2151.42
36,35644,0030.01
34,20764,0536.01
34,20764,0014.16
51,47260,2131.04
45,34820,0506.00
40,,9886.00
39,18140,0069.24
44,39300,0165.00
53,42644,0418.08
38,,9664.00
51,47260,2111.00
39,18140,0312.00
40,36420,6001.00
34,20764,0534.01
41,38900,0304.02
45,34820,0801.00
42,38300,4281.00
32,29820,0005.15
39,45780,0041.00
34,20764,7230.00
51,47260,0101.03
48,26420,3432.00
72,41980,2026.01
47,32820,0206.52
46,43620,0004.03
48,23104,1306.00
27,33460,1007.00
47,,9672.00
42,38300,2022.00
48,,1404.07
53,44060,0032.00
42,29540,0142.02
48,41700,1308.00
49,,1104.00
39,17140,0217.01
55,39540,0017.01
47,,9951.00
45,17900,0202.01
48,26420,4122.00
35,10740,0001.08
55,39540,0009.03
36,,9627.00
51,47260,0055.00
27,22020,0206.00
55,39540,0017.04
39,17460,1614.00
36,15380,0080.02
39,17460,1881.07
34,12100,0109.00
49,,9925.00
53,42644,0538.03
55,33340,2034.03
27,33460,1050.00
55,,9901.00
55,39540,0013.01
27,33460,0322.00
27,33460,0505.01
48,41700,9908.00
39,17460,4080.00
31,,9854.00
42,38300,8058.00
36,35644,0535.00
34,45940,0011.00
